account_id,customer_id,account_type,account_number,branch_id,balance,currency,status,interest_rate,opened_date,last_activity_date
ACC-600001,500724,money_market,3622-9667-3848-7621,BR-0047,104986.27,USD,active,3.7733,2024-10-30,2025-09-22
ACC-600002,501944,checking,3787-2740-9326-1113,BR-0005,16661.93,USD,dormant,0.1811,2023-06-04,2023-12-08
ACC-600003,501951,cd,2785-5291-2369-2789,BR-0046,82546.01,USD,active,5.7784,2024-09-06,2024-12-10
ACC-600004,500404,checking,5682-7345-8692-9853,BR-0066,619.91,USD,frozen,0.2788,2024-08-16,2025-04-13
ACC-600005,501060,checking,1118-0177-8854-1054,BR-0030,17413.47,USD,active,0.3938,2020-11-28,2021-02-07
ACC-600006,502988,checking,5161-0093-1785-2789,BR-0033,23663.03,USD,active,0.2328,2021-01-23,2021-02-26
ACC-600007,500101,savings,2049-0574-4488-8098,BR-0029,173128.57,USD,dormant,3.5411,2023-11-16,2025-06-05
ACC-600008,502498,checking,0293-2051-7629-2783,BR-0040,30718.46,USD,active,0.3372,2022-03-07,2023-09-11
ACC-600009,500041,checking,0448-8036-5458-8023,BR-0184,9789.53,USD,active,0.3211,2021-09-09,2022-08-02
ACC-600010,502116,savings,6052-5788-7676-0273,BR-0175,75045.5,USD,dormant,2.4493,2021-05-28,2023-04-10
ACC-600011,502684,savings,1991-6444-7244-2035,BR-0101,12936.07,USD,frozen,1.7978,2023-05-30,2025-02-14
ACC-600012,502140,money_market,0219-3117-4237-0400,BR-0082,165128.58,USD,active,2.9603,2025-10-28,2025-12-22
ACC-600013,502860,checking,9302-6487-0340-6216,BR-0172,15611.15,USD,closed,0.3266,2020-04-21,2022-01-30
ACC-600014,500028,checking,1291-1419-2208-8698,BR-0069,39641.68,USD,active,0.167,2023-05-31,2024-06-18
ACC-600015,502122,cd,7922-3489-0718-1916,BR-0149,53085.38,USD,dormant,2.977,2024-05-07,2024-08-10
ACC-600016,501835,cd,8519-3230-3747-2478,BR-0141,195918.9,USD,active,3.4406,2022-01-15,2023-09-12
ACC-600017,502523,money_market,3886-8738-8888-3264,BR-0006,262826.05,USD,dormant,4.8798,2024-03-18,2024-08-17
ACC-600018,501921,savings,7777-6843-9802-9492,BR-0116,31245.88,USD,closed,0.6093,2024-07-30,2025-11-11
ACC-600019,500302,checking,8303-7495-6608-5606,BR-0007,47420.79,USD,dormant,0.345,2021-11-16,2022-01-09
ACC-600020,502162,savings,7009-1093-0210-7858,BR-0139,20477.98,USD,active,2.6348,2024-09-15,2025-06-11
ACC-600021,501381,savings,5078-6329-6463-8202,BR-0088,30195.73,USD,active,4.4868,2020-04-13,2021-05-18
ACC-600022,501198,money_market,7629-1436-5035-3011,BR-0167,19688.52,USD,active,5.3708,2024-10-19,2024-11-14
ACC-600023,502152,checking,3183-3909-3324-0507,BR-0176,41603.15,USD,active,0.3061,2025-04-20,2025-12-17
ACC-600024,502659,checking,7355-4883-9702-7120,BR-0022,36622.34,USD,active,0.4586,2020-04-05,2022-03-17
ACC-600025,501494,savings,3700-3422-3926-3754,BR-0080,157429.16,USD,active,1.6074,2020-03-15,2021-07-13
ACC-600026,502332,savings,8364-1773-3420-1013,BR-0065,29927.86,USD,closed,4.8947,2019-07-04,2019-10-16
ACC-600027,501913,savings,6890-4714-4727-9032,BR-0097,124520.25,USD,dormant,0.7333,2021-07-26,2022-02-13
ACC-600028,501915,checking,8534-0512-1127-2589,BR-0032,30011.34,USD,active,0.1257,2025-11-04,2025-12-08
ACC-600029,502832,savings,6980-6687-7357-4531,BR-0087,183894.92,USD,active,4.5162,2021-06-06,2022-07-29
ACC-600030,501028,savings,5425-6192-5361-0763,BR-0146,76515.95,USD,active,3.6459,2022-07-02,2023-06-16
ACC-600031,500738,checking,3731-4080-4088-4454,BR-0011,39139.55,USD,active,0.0915,2021-02-03,2021-12-27
ACC-600032,502200,money_market,2039-1908-9768-2427,BR-0071,8116.07,USD,active,4.5983,2019-08-27,2021-01-28
ACC-600033,502693,checking,3633-2493-3188-6119,BR-0189,1448.68,USD,closed,0.131,2023-09-18,2023-11-07
ACC-600034,500064,savings,1391-1848-5594-4402,BR-0149,92303.71,USD,active,1.6441,2024-04-14,2025-07-06
ACC-600035,502114,checking,7154-8098-0561-5192,BR-0098,13561.77,USD,active,0.42,2020-09-14,2021-08-01
ACC-600036,501392,cd,3144-3672-6317-3274,BR-0060,62468.31,USD,active,4.1297,2025-05-14,2025-08-04
ACC-600037,501263,savings,4971-9456-2987-6362,BR-0016,1500.04,USD,active,1.297,2025-11-13,2025-12-12
ACC-600038,501729,checking,6631-5864-4595-0751,BR-0093,10147.84,USD,active,0.3569,2023-03-12,2025-02-14
ACC-600039,502525,checking,5153-6010-4184-0669,BR-0108,6740.46,USD,active,0.3388,2020-06-06,2021-01-14
ACC-600040,500950,checking,5445-0518-9659-1327,BR-0169,6194.97,USD,active,0.4233,2021-09-12,2022-07-04
ACC-600041,500976,savings,8452-3039-0680-2649,BR-0121,5175.34,USD,active,2.5757,2025-11-16,2025-12-13
ACC-600042,502100,checking,0604-9650-6696-1981,BR-0092,11482.49,USD,active,0.3026,2025-10-29,2025-11-05
ACC-600043,500774,savings,0168-2334-7204-2265,BR-0098,110391.62,USD,active,3.2421,2024-06-06,2025-07-12
ACC-600044,501626,cd,3165-8153-2229-1532,BR-0023,94699.51,USD,active,2.8709,2024-11-14,2025-01-07
ACC-600045,500494,savings,5439-9581-9452-9326,BR-0198,156044.34,USD,active,2.0216,2022-08-24,2023-12-30
ACC-600046,501249,savings,1482-3631-0808-9097,BR-0090,156807.62,USD,active,1.3082,2019-08-01,2021-05-15
ACC-600047,501545,money_market,1160-4114-2515-0192,BR-0155,258061.94,USD,active,3.8167,2022-09-17,2023-09-12
ACC-600048,501114,checking,0118-3166-1690-7003,BR-0199,19637.79,USD,active,0.3091,2021-10-20,2023-07-07
ACC-600049,502562,money_market,9785-5116-9512-2861,BR-0014,29926.53,USD,active,3.1851,2021-11-22,2023-07-06
ACC-600050,500879,checking,1124-5658-0880-0222,BR-0002,20123.41,USD,active,0.4437,2021-04-19,2022-09-25
ACC-600051,500549,checking,0068-8749-5192-6243,BR-0090,3711.45,USD,active,0.1275,2023-10-30,2024-10-12
ACC-600052,501847,savings,7763-0478-5594-0474,BR-0181,194007.38,USD,active,1.0059,2019-09-06,2020-01-25
ACC-600053,500669,checking,7418-6189-1344-7118,BR-0026,24390.95,USD,active,0.3427,2022-07-31,2024-04-19
ACC-600054,502818,money_market,4650-3186-1823-6664,BR-0083,379567.97,USD,closed,2.3873,2020-08-07,2021-05-01
ACC-600055,502598,savings,6228-6655-7577-2791,BR-0065,2383.44,USD,active,0.5192,2019-01-27,2019-12-01
ACC-600056,501000,savings,9029-9040-5703-2594,BR-0026,173672.21,USD,active,0.8153,2024-12-05,2025-08-02
ACC-600057,502941,cd,2599-0813-0400-7763,BR-0058,105423.48,USD,closed,2.2011,2021-08-08,2022-05-06
ACC-600058,500164,checking,6573-1683-9631-5140,BR-0021,44443.86,USD,active,0.0278,2021-02-01,2021-09-28
ACC-600059,502316,checking,5549-9287-5933-7200,BR-0048,22664.38,USD,active,0.287,2021-07-17,2022-02-28
ACC-600060,500506,savings,5396-3938-8062-3539,BR-0031,84010.19,USD,closed,1.1165,2023-08-28,2025-08-11
ACC-600061,502255,checking,5872-5006-6299-4532,BR-0120,38744.26,USD,frozen,0.1608,2022-03-22,2023-01-18
ACC-600062,500530,savings,8644-5925-8223-7327,BR-0064,44306.32,USD,closed,4.1621,2020-02-08,2020-12-27
ACC-600063,501661,checking,8451-1813-5411-7940,BR-0056,33600.47,USD,active,0.4957,2024-07-23,2025-06-02
ACC-600064,501624,cd,9772-7073-7561-5013,BR-0135,236098.41,USD,active,3.9201,2024-07-15,2024-10-11
ACC-600065,502257,checking,2529-9794-6816-2121,BR-0189,3658.11,USD,active,0.2389,2022-12-10,2024-12-07
ACC-600066,502381,savings,5114-7482-6847-6985,BR-0154,91700.86,USD,frozen,4.256,2019-03-08,2020-10-01
ACC-600067,502025,savings,5522-0968-1303-8931,BR-0075,20474.45,USD,active,2.8041,2024-04-14,2024-11-30
ACC-600068,502523,money_market,4683-1282-0470-9175,BR-0056,219096.78,USD,active,1.9908,2025-09-02,2025-11-17
ACC-600069,502718,checking,1124-4565-8680-4533,BR-0126,9340.24,USD,active,0.0743,2022-07-20,2023-01-04
ACC-600070,500497,checking,6122-9217-2354-1431,BR-0139,48087.57,USD,dormant,0.0571,2021-11-28,2023-01-30
ACC-600071,502167,savings,2136-2979-1578-5028,BR-0063,176813.43,USD,dormant,4.3152,2025-08-03,2025-10-01
ACC-600072,500999,checking,1244-9637-9781-4277,BR-0135,21582.27,USD,active,0.3459,2022-03-29,2023-11-08
ACC-600073,500556,checking,6630-4546-1550-6799,BR-0083,34794.98,USD,active,0.3491,2022-02-15,2023-10-30
ACC-600074,500807,savings,0067-3219-2603-6036,BR-0029,9357.85,USD,active,1.7546,2021-02-02,2022-08-26
ACC-600075,501362,money_market,3595-9712-4748-3463,BR-0027,437394.34,USD,active,2.1249,2019-10-17,2020-12-12
ACC-600076,501124,money_market,6196-2086-3902-5806,BR-0190,135488.15,USD,active,2.0251,2024-04-01,2025-05-16
ACC-600077,500531,checking,1871-6974-7279-5207,BR-0136,45461.04,USD,active,0.0199,2022-02-06,2022-10-15
ACC-600078,502064,savings,7376-8859-2453-4133,BR-0028,61156.35,USD,active,2.8065,2025-06-19,2025-07-18
ACC-600079,500695,checking,0944-2687-9572-6906,BR-0038,40648.18,USD,active,0.1343,2024-12-03,2025-05-14
ACC-600080,500086,checking,8497-9148-5413-7458,BR-0107,39023.52,USD,frozen,0.3684,2019-11-20,2020-11-03
ACC-600081,500075,savings,8208-5951-1226-4801,BR-0095,188632.86,USD,closed,3.8388,2023-04-30,2024-10-21
ACC-600082,500356,checking,8226-2433-3342-8925,BR-0059,12709.64,USD,active,0.0477,2021-01-23,2022-10-01
ACC-600083,500911,money_market,6481-7324-3687-1949,BR-0067,293466.98,USD,closed,3.7203,2024-10-19,2025-09-15
ACC-600084,500634,money_market,2349-4826-0991-4256,BR-0054,185097.66,USD,active,3.7433,2022-02-09,2024-02-08
ACC-600085,501960,money_market,4549-1777-5092-2433,BR-0043,386887.41,USD,dormant,2.9313,2023-12-27,2024-04-12
ACC-600086,502434,money_market,0026-3879-5652-9778,BR-0060,286949.09,USD,closed,2.8927,2020-11-12,2022-02-10
ACC-600087,502761,money_market,5705-1101-9456-2133,BR-0114,428949.58,USD,active,5.1841,2024-05-01,2024-09-17
ACC-600088,502767,checking,9437-7509-4294-2942,BR-0003,11764.48,USD,dormant,0.1505,2019-06-15,2019-06-28
ACC-600089,502819,checking,5219-7053-0490-1535,BR-0091,41180.83,USD,active,0.3342,2022-01-07,2023-10-13
ACC-600090,502748,checking,9447-2251-7138-6572,BR-0117,21181.48,USD,active,0.4736,2024-06-06,2025-10-31
ACC-600091,502897,checking,7485-7675-4828-5602,BR-0057,7936.41,USD,active,0.0653,2023-04-20,2024-03-18
ACC-600092,501361,savings,6286-7601-4069-6862,BR-0067,22143.34,USD,active,3.1397,2019-10-24,2020-11-04
ACC-600093,502527,checking,7506-2150-2055-1143,BR-0144,9202.24,USD,active,0.4751,2025-07-21,2025-09-02
ACC-600094,500566,cd,7199-2948-2425-4497,BR-0130,56752.84,USD,active,3.2374,2022-05-16,2023-05-30
ACC-600095,501572,savings,4508-2495-6072-3124,BR-0006,118899.34,USD,active,4.2923,2023-04-01,2024-06-11
ACC-600096,502339,checking,7879-3676-6026-0294,BR-0014,46605.58,USD,active,0.1506,2019-03-19,2020-04-23
ACC-600097,501666,money_market,8250-1478-1392-3320,BR-0078,157370.22,USD,active,4.8279,2024-03-11,2024-06-16
ACC-600098,501989,savings,9370-5716-3569-6866,BR-0039,139037.82,USD,active,4.9212,2020-07-15,2022-01-05
ACC-600099,502062,checking,9527-0405-2393-2653,BR-0072,28948.13,USD,closed,0.3325,2021-12-28,2022-10-28
ACC-600100,501359,checking,6547-4556-3416-6422,BR-0011,23818.01,USD,dormant,0.4222,2025-12-06,2025-12-28
ACC-600101,502110,checking,0312-8000-8530-0468,BR-0140,1110.74,USD,frozen,0.3588,2022-01-26,2022-10-28
ACC-600102,500124,cd,2776-2917-9743-8696,BR-0003,17137.39,USD,active,5.5363,2024-12-12,2025-10-04
ACC-600103,501982,savings,2424-8220-1759-8475,BR-0013,45230.11,USD,active,4.8143,2021-11-20,2023-08-06
ACC-600104,501543,checking,1084-6258-3101-7014,BR-0035,48710.27,USD,closed,0.0849,2023-07-08,2025-02-24
ACC-600105,501666,money_market,2343-1837-0344-7367,BR-0134,304440.14,USD,active,1.7643,2025-04-28,2025-08-31
ACC-600106,502390,money_market,7625-2881-6210-3787,BR-0149,118891.95,USD,closed,2.3203,2022-08-02,2024-04-28
ACC-600107,501772,cd,4248-3997-0438-5940,BR-0049,213454.78,USD,active,3.8948,2021-03-28,2021-06-23
ACC-600108,501294,checking,6392-8490-6251-9584,BR-0173,20193.33,USD,frozen,0.1865,2025-08-28,2025-10-04
ACC-600109,502241,checking,7666-6554-4130-0856,BR-0118,16017.0,USD,active,0.0686,2019-11-13,2020-11-25
ACC-600110,501257,checking,0454-4778-2374-1135,BR-0093,3268.27,USD,active,0.1379,2021-08-20,2022-12-22
ACC-600111,502780,savings,7967-3637-3999-3559,BR-0139,54010.99,USD,dormant,4.1872,2020-08-23,2020-08-28
ACC-600112,502800,checking,5446-0320-4430-4330,BR-0133,24759.42,USD,active,0.3253,2024-11-09,2025-12-11
ACC-600113,502368,money_market,5369-2200-2582-2152,BR-0183,36261.07,USD,closed,3.3699,2021-08-18,2022-01-19
ACC-600114,502716,money_market,7010-8155-8661-4014,BR-0035,188102.94,USD,dormant,1.2611,2023-02-17,2024-02-22
ACC-600115,501853,checking,7404-2610-3419-2850,BR-0046,47082.53,USD,dormant,0.1003,2023-07-04,2023-08-11
ACC-600116,500370,savings,5103-8133-6851-3184,BR-0092,57587.11,USD,frozen,2.2699,2024-12-14,2025-09-07
ACC-600117,500845,checking,2956-2899-1164-2606,BR-0158,28768.14,USD,active,0.3192,2020-09-02,2021-04-04
ACC-600118,501274,savings,2517-7699-8970-8369,BR-0168,124373.33,USD,active,3.9095,2023-09-09,2023-11-29
ACC-600119,502883,savings,6042-6446-0898-8747,BR-0198,66696.86,USD,active,3.6291,2023-12-01,2025-05-08
ACC-600120,501435,savings,6277-4254-0613-8430,BR-0006,27192.96,USD,active,4.7146,2025-08-21,2025-11-04
ACC-600121,502284,checking,0273-1178-7900-9106,BR-0179,22150.57,USD,active,0.1416,2021-04-23,2023-02-13
ACC-600122,502413,savings,0282-5140-3648-9178,BR-0013,124742.45,USD,dormant,1.0495,2019-06-12,2019-10-06
ACC-600123,502139,checking,5595-3770-4315-2100,BR-0041,24342.18,USD,closed,0.0155,2021-03-04,2021-07-02
ACC-600124,501790,savings,1290-7913-9450-0763,BR-0164,172750.76,USD,active,2.6503,2021-12-02,2022-02-28
ACC-600125,502205,savings,1882-8246-1734-9094,BR-0195,150690.88,USD,active,4.4079,2023-10-23,2025-09-14
ACC-600126,501521,cd,0954-1702-9973-6926,BR-0096,225831.06,USD,active,2.569,2021-12-03,2022-11-17
ACC-600127,502492,savings,7489-3781-1221-8503,BR-0023,115239.13,USD,active,1.0266,2023-07-31,2024-04-08
ACC-600128,502096,savings,5045-2853-5820-9751,BR-0142,131005.12,USD,active,0.622,2019-02-02,2020-11-09
ACC-600129,500914,money_market,8641-9021-0325-3646,BR-0050,73879.21,USD,active,2.6141,2022-09-13,2024-05-10
ACC-600130,502473,savings,2512-1247-8765-7417,BR-0051,119694.67,USD,dormant,1.3147,2022-08-22,2023-10-20
ACC-600131,500065,checking,8151-8857-5766-2089,BR-0107,35458.41,USD,dormant,0.4807,2019-01-10,2020-09-22
ACC-600132,500711,money_market,7598-6476-1208-7783,BR-0093,285007.35,USD,active,4.6402,2023-08-26,2024-12-13
ACC-600133,500194,savings,2096-3607-4387-6810,BR-0023,9018.08,USD,active,3.6777,2020-02-13,2020-05-11
ACC-600134,502881,checking,8258-0174-5819-0329,BR-0002,11275.44,USD,frozen,0.0895,2020-10-15,2021-06-28
ACC-600135,501454,savings,7408-5967-2621-2881,BR-0058,40164.08,USD,closed,2.7229,2022-07-29,2023-02-27
ACC-600136,501761,savings,5988-1196-5894-5623,BR-0086,80122.72,USD,active,4.0583,2022-07-01,2022-10-12
ACC-600137,500706,checking,1218-9145-8868-4239,BR-0102,11102.42,USD,active,0.2591,2025-07-19,2025-10-25
ACC-600138,500765,checking,3222-0741-3067-0132,BR-0059,45621.5,USD,active,0.3218,2025-01-10,2025-05-25
ACC-600139,500893,savings,1581-4634-6393-0253,BR-0186,147429.31,USD,active,3.7356,2025-08-07,2025-11-13
ACC-600140,502859,checking,2167-1866-3294-4628,BR-0118,29160.68,USD,active,0.2945,2022-12-04,2023-03-12
ACC-600141,501447,savings,7813-2709-4810-2591,BR-0190,92215.83,USD,active,3.3243,2024-12-14,2025-01-23
ACC-600142,501689,money_market,9491-5168-8878-2126,BR-0095,102032.43,USD,active,4.8679,2024-12-22,2025-06-26
ACC-600143,502995,savings,9704-6379-5388-2096,BR-0199,73361.85,USD,active,4.7232,2020-09-26,2020-11-29
ACC-600144,502928,savings,4022-1637-2107-0780,BR-0143,46070.91,USD,active,2.1743,2022-01-31,2023-11-17
ACC-600145,502473,checking,6767-0147-0397-0693,BR-0181,4095.43,USD,active,0.4775,2024-12-20,2024-12-28
ACC-600146,500217,savings,0513-4307-8279-9133,BR-0107,52974.52,USD,active,2.8725,2022-07-08,2023-10-09
ACC-600147,502696,savings,3463-3061-3833-4270,BR-0151,116593.36,USD,active,4.5729,2022-01-03,2023-02-20
ACC-600148,502904,savings,9807-7485-4192-3281,BR-0103,137768.06,USD,active,3.2229,2024-11-13,2025-09-11
ACC-600149,501776,checking,8151-0387-8688-8141,BR-0136,30934.27,USD,active,0.2856,2019-02-14,2019-05-31
ACC-600150,500757,savings,0150-6319-4266-8955,BR-0097,114243.38,USD,dormant,3.2583,2019-05-19,2020-04-11
ACC-600151,501276,savings,7864-9450-1979-9725,BR-0072,193701.74,USD,dormant,4.0578,2025-12-06,2025-12-15
ACC-600152,501258,checking,7109-9747-8955-7163,BR-0144,8998.14,USD,closed,0.2747,2021-02-24,2021-08-02
ACC-600153,501382,checking,7039-2766-5642-3987,BR-0041,18836.29,USD,dormant,0.3976,2025-08-30,2025-09-08
ACC-600154,501984,savings,6448-5224-6107-8424,BR-0047,168457.29,USD,active,1.2075,2021-01-28,2021-05-24
ACC-600155,500980,savings,9093-2778-7970-7825,BR-0177,4929.78,USD,active,2.2732,2020-06-12,2022-02-03
ACC-600156,501648,checking,4958-4325-3250-3385,BR-0106,17846.66,USD,dormant,0.0335,2022-01-31,2022-04-03
ACC-600157,501212,cd,8601-4996-3750-8718,BR-0003,187638.41,USD,frozen,2.8355,2020-02-01,2021-06-07
ACC-600158,501711,checking,7136-4319-4290-9981,BR-0173,30884.36,USD,closed,0.0659,2024-05-09,2025-09-13
ACC-600159,502554,checking,5270-5247-9437-1655,BR-0097,14953.39,USD,dormant,0.1383,2022-01-17,2022-06-22
ACC-600160,500178,savings,2442-5091-0095-9673,BR-0109,160357.24,USD,active,3.7446,2024-12-15,2025-07-18
ACC-600161,500773,checking,1136-4953-6600-1482,BR-0152,34337.59,USD,dormant,0.1321,2019-11-08,2020-04-09
ACC-600162,500531,checking,6864-5406-0736-0956,BR-0078,5981.46,USD,active,0.1296,2021-03-22,2021-07-25
ACC-600163,502067,savings,7813-6939-9147-8938,BR-0004,129429.48,USD,dormant,3.4148,2025-12-18,2025-12-27
ACC-600164,500665,cd,0155-4422-8199-1809,BR-0017,188761.6,USD,dormant,5.4592,2025-12-18,2025-12-22
ACC-600165,500711,money_market,4915-3899-1802-0162,BR-0071,6833.57,USD,dormant,4.51,2024-11-02,2025-04-02
ACC-600166,502600,checking,2918-9389-1200-3039,BR-0167,24949.21,USD,active,0.2914,2021-12-21,2022-03-13
ACC-600167,501668,checking,8965-3286-5393-1241,BR-0063,42388.49,USD,active,0.0813,2020-06-28,2021-12-03
ACC-600168,502047,checking,1488-8998-8993-3138,BR-0007,7096.69,USD,active,0.065,2020-07-11,2020-12-14
ACC-600169,501961,savings,6434-9083-3149-8557,BR-0006,172357.24,USD,active,3.1383,2020-05-19,2021-12-17
ACC-600170,500424,cd,1518-7137-0888-8699,BR-0106,200163.99,USD,active,4.002,2021-11-22,2022-06-29
