customer_id,first_name,last_name,date_of_birth,gender,email,phone,address,city,state,zip_code,country,account_open_date,customer_type,kyc_status,risk_rating
500001,Robert,Powell,1960-03-03,F,robert.powell3246@hotmail.com,742-233-8444,17954 Leblanc Mount Apt. 170,Christinaview,UT,84862,US,2019-07-08,business,pending,low
500002,Jacqueline,Santos,1950-12-19,F,jacqueline.santos6511@gmail.com,536-145-1831,18167 Kevin Prairie,West Phillipville,MT,01966,US,2021-02-26,business,verified,low
500003,Veronica,Glass,1994-12-31,F,veronica.glass7781@gmail.com,607-685-1640,0058 Huber Key Apt. 282,Harringtonberg,NC,82036,US,2023-09-13,individual,pending,medium
500004,Jose,Moore,1997-03-09,F,jose.moore5729@hotmail.com,981-166-4972,325 Simpson Square Suite 913,South Michael,NC,76339,US,2025-01-06,individual,verified,medium
500005,Kelsey,Walker,1981-11-23,F,kelsey.walker9519@yahoo.com,823-881-8716,7568 Karen Road Apt. 476,South Derekfort,NM,87341,US,2018-12-16,individual,pending,low
500006,Ashley,Kelly,1976-05-08,F,ashley.kelly1099@hotmail.com,131-546-3676,36062 Nicholson Ramp,Savannahmouth,TN,82757,US,2024-11-12,individual,verified,medium
500007,Stephanie,French,1965-11-15,M,stephanie.french9357@gmail.com,455-769-9987,19489 Emily Stravenue Apt. 639,Osbornland,MN,41382,US,2019-01-30,individual,pending,high
500008,Shelly,Vasquez,1968-04-27,M,shelly.vasquez8081@yahoo.com,997-719-4459,961 Johnson Ridges Suite 741,Dakotaberg,TX,50365,US,2023-10-18,business,verified,high
500009,Johnathan,Johnson,1998-08-17,F,johnathan.johnson2394@gmail.com,529-322-7697,057 David Meadows,Matthewbury,AK,17462,US,2018-03-27,individual,pending,high
500010,Diane,Davis,1979-09-10,M,diane.davis3741@yahoo.com,917-499-3945,79180 Edwards Greens,Williamschester,AR,99560,US,2021-07-21,business,verified,low
500011,Angelica,Washington,1965-02-09,M,angelica.washington7258@gmail.com,029-620-5633,0976 Karen Ways Apt. 712,Port Maria,NE,54261,US,2022-03-12,business,failed,low
500012,John,Smith,1980-04-05,M,john.smith9222@hotmail.com,687-254-0774,8204 Frank Path,East Yvettefort,ME,29065,US,2024-09-24,individual,verified,low
500013,Daniel,Gibson,2001-02-10,F,daniel.gibson1158@yahoo.com,427-894-3788,42758 Joshua Square Suite 505,Port Jennifershire,AK,84160,US,2024-01-21,individual,failed,medium
500014,Mitchell,Rodriguez,2000-11-21,M,mitchell.rodriguez9677@yahoo.com,705-948-8753,73284 Bennett Plains Apt. 228,Lake Reginaland,NM,05140,US,2018-08-09,individual,verified,medium
500015,Amy,Thomas,1988-01-20,F,amy.thomas6528@hotmail.com,194-033-4977,933 Ramos Plains Apt. 588,Matthewshire,CA,04739,US,2019-08-11,individual,verified,low
500016,Emily,Ortiz,1983-10-20,M,emily.ortiz1861@hotmail.com,813-823-1196,647 Estrada Streets Apt. 356,Sanchezhaven,SD,88463,US,2020-03-14,individual,verified,low
500017,Rachel,Hubbard,1956-02-15,F,rachel.hubbard3714@hotmail.com,227-069-7777,84298 Velez Mission,Williamsberg,DE,28321,US,2021-11-11,individual,pending,high
500018,Ryan,Davis,1967-02-25,F,ryan.davis9151@gmail.com,463-632-0154,21491 Danielle Plain Suite 731,Jessicashire,TN,34048,US,2024-06-18,business,verified,low
500019,Lisa,Rubio,1955-12-16,M,lisa.rubio828@hotmail.com,651-185-8020,315 Craig Squares,New Sharonland,AZ,20966,US,2023-10-31,individual,verified,low
500020,Lance,Carr,1954-04-14,M,lance.carr2874@gmail.com,184-359-7309,5727 April Cove,Wolfeside,LA,40696,US,2019-03-02,business,verified,low
500021,Melissa,Barnes,1972-07-26,M,melissa.barnes3992@gmail.com,454-053-6065,154 Maria Pike Suite 217,Whiteshire,NY,57734,US,2020-10-13,individual,verified,medium
500022,David,Hernandez,1963-05-18,F,david.hernandez1026@gmail.com,346-718-4461,27430 Foster Skyway Suite 740,North Cynthiaport,ME,61346,US,2025-01-09,individual,pending,medium
500023,Lauren,Brennan,1993-04-10,F,lauren.brennan2662@yahoo.com,699-535-9607,40847 Howard Drives,Port Emmafurt,CA,23324,US,2023-05-22,individual,verified,high
500024,Jack,Evans,1976-05-28,M,jack.evans9990@yahoo.com,180-388-1437,45826 Brittany Summit,North Jessicamouth,ID,07707,US,2019-02-08,individual,verified,low
500025,Steve,Hampton,1974-01-02,M,steve.hampton1326@yahoo.com,522-178-0667,8189 Alexander Road Apt. 636,Davidchester,VA,32142,US,2021-10-27,business,pending,medium
500026,Sara,Kim,1951-10-11,F,sara.kim9297@hotmail.com,913-559-6572,87818 Craig Stream Suite 762,New Benjamin,NE,52015,US,2020-08-24,individual,verified,medium
500027,Lisa,Freeman,1974-08-15,F,lisa.freeman1316@hotmail.com,461-867-7164,146 Jonathan Shore,East Brendabury,SC,56758,US,2022-09-16,individual,failed,low
